radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
172.693798,0.313,9.723179,0.383,13.988,0.031,5,14.751,0.117,5,NA,NA,0,14.335,0.057,5,13.755,0.05,5,13.586,0.036,5,13.53,0.284,3,NA,NA,0
172.698093,0.555,9.421147,0.361,16.866,0.119,1,18.204,0.236,1,NA,NA,0,17.71,0.041,4,16.209,0.116,4,15.317,0.035,4,NA,NA,0,NA,NA,0
172.700244,0.318,9.39786,0.292,16.411,0.078,3,17.331,0.059,3,NA,NA,0,16.851,0.045,4,16.29,0.033,4,16.097,0.098,4,NA,NA,0,NA,NA,0
172.702895,0.453,9.241594,0.463,17.279,0.164,1,18.294,0.264,1,NA,NA,0,17.88,0.134,3,16.964,0.169,3,16.39,0.045,3,NA,NA,0,NA,NA,0
172.704464,0.706,9.681022,0.331,17.009,0.164,2,18.222,0.048,2,NA,NA,0,17.714,0.129,4,16.489,0.08,4,16.09,0.043,4,NA,NA,0,NA,NA,0
172.710251,0.466,9.757077,0.363,16.396,0.071,5,17.21,0.097,5,NA,NA,0,16.783,0.048,5,16.152,0.109,5,16.005,0.227,5,NA,NA,0,NA,NA,0
172.71028,0.214,9.012664,0.235,14.974,0.026,4,15.676,0.1,4,NA,NA,0,15.275,0.017,4,14.844,0.026,4,14.616,0.06,4,NA,NA,0,NA,NA,0
172.711828,0.153,9.1623,0.151,12.152,0.012,4,12.843,0.068,4,NA,NA,0,12.451,0.035,4,11.967,0.029,4,11.823,0.038,4,11.862,0.115,2,NA,NA,0
172.713028,0.371,9.688062,0.335,14.86,0.047,5,15.602,0.111,5,NA,NA,0,15.191,0.037,5,14.664,0.066,5,14.485,0.088,5,NA,NA,0,NA,NA,0
172.714636,0.405,9.076886,0.517,NA,NA,0,NA,NA,0,NA,NA,0,18.08,0.261,2,17.179,0.141,2,NA,NA,0,NA,NA,0,NA,NA,0
172.717046,0.584,9.791572,0.07,NA,NA,0,NA,NA,0,NA,NA,0,17.916,0.159,1,17.521,0.244,1,NA,NA,0,NA,NA,0,NA,NA,0
172.71765,0.248,9.731566,0.383,13.884,0.045,5,14.809,0.084,5,NA,NA,0,14.33,0.037,5,13.556,0.05,5,13.31,0.04,5,13.348,0.09,3,NA,NA,0
172.718848,0.422,8.92,0.458,14.888,0.049,4,15.578,0.056,4,NA,NA,0,15.168,0.037,4,14.679,0.04,4,14.507,0.05,4,NA,NA,0,NA,NA,0
172.722563,0.21,9.397011,0.316,13.783,0.022,4,14.384,0.064,4,NA,NA,0,14.042,0.04,4,13.635,0.037,4,13.517,0.036,4,13.335,0.149,1,NA,NA,0
172.723619,0.233,9.003267,0.2,16.029,0.068,4,17.01,0.096,4,NA,NA,0,16.52,0.028,4,15.651,0.056,4,15.362,0.055,4,NA,NA,0,NA,NA,0
172.727091,0.057,9.091654,0.359,NA,NA,0,NA,NA,0,NA,NA,0,18.542,0.224,1,17.039,0.146,1,NA,NA,0,NA,NA,0,NA,NA,0
172.7288,0.62,9.077337,0.368,NA,NA,0,NA,NA,0,NA,NA,0,17.655,0.119,4,16.238,0.098,4,15.484,0.02,4,NA,NA,0,NA,NA,0
172.733289,0.407,9.640562,0.341,14.022,0.039,5,14.702,0.115,5,NA,NA,0,14.35,0.035,5,13.852,0.04,5,13.729,0.051,5,13.726,0.231,1,NA,NA,0
172.733444,0.586,9.064133,0.435,16.96,0.03,4,17.328,0.044,4,NA,NA,0,17.158,0.099,4,16.76,0.172,4,16.329,0.087,2,NA,NA,0,NA,NA,0
172.736603,0.273,9.802522,0.424,15.136,0.06,3,16.259,0.085,3,NA,NA,0,15.707,0.033,2,NA,NA,0,14.368,0.035,2,NA,NA,0,NA,NA,0
172.739009,0.712,9.21862,0.096,NA,NA,0,NA,NA,0,NA,NA,0,17.84,0.106,1,17.383,0.187,1,NA,NA,0,NA,NA,0,NA,NA,0
172.740344,0.717,9.692841,0.418,NA,NA,0,NA,NA,0,NA,NA,0,18.125,0.178,4,16.66,0.052,4,16.026,0.2,4,NA,NA,0,NA,NA,0
172.742522,0.246,9.127863,0.189,15.294,0.03,4,16.044,0.096,4,NA,NA,0,15.624,0.055,4,15.074,0.057,4,14.96,0.079,4,NA,NA,0,NA,NA,0
172.745102,0.276,9.380431,0.234,15.509,0.032,4,16.811,0.068,4,NA,NA,0,16.205,0.064,4,15.001,0.063,4,14.528,0.103,4,NA,NA,0,NA,NA,0
172.747417,0.285,9.251909,0.32,13.927,0.026,4,15.184,0.061,4,NA,NA,0,14.555,0.032,4,13.453,0.029,4,12.995,0.036,4,12.889,0.2,2,NA,NA,0
