radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
256.442442,0.662,30.357322,0.238,17.145,0.14,1,17.936,0.196,1,NA,NA,0,17.396,0.131,2,16.606,0.024,2,16.291,0.277,2,NA,NA,0,NA,NA,0
256.442636,0.277,30.107449,0.4,15.744,0.031,2,16.437,0.092,2,NA,NA,0,16.015,0.022,2,15.592,0.003,2,NA,NA,0,NA,NA,0,NA,NA,0
256.443071,0.341,30.328645,0.153,16.206,0.002,2,17.001,0.013,2,NA,NA,0,16.5,0.019,2,15.918,0.018,2,15.773,0.316,2,NA,NA,0,NA,NA,0
256.4453,0.441,30.480897,0.246,NA,NA,0,NA,NA,0,NA,NA,0,17.899,0.119,1,17.474,0.199,1,NA,NA,0,NA,NA,0,NA,NA,0
256.445872,0.25,30.305,0.204,NA,NA,0,NA,NA,0,NA,NA,0,17.46,0.004,2,16.208,0.034,2,15.498,0.029,2,NA,NA,0,NA,NA,0
256.447136,0.165,29.875207,0.198,15.879,0.002,2,16.652,0.045,2,NA,NA,0,16.147,0.002,2,15.562,0.012,2,15.31,0.031,2,NA,NA,0,NA,NA,0
256.448162,0.112,30.48579,0.189,17.356,0.172,1,17.578,0.148,1,NA,NA,0,17.543,0.084,1,17.267,0.157,1,NA,NA,0,NA,NA,0,NA,NA,0
256.448251,0.14,30.053745,0.122,14.848,0.008,2,15.631,0.052,2,NA,NA,0,15.156,0.028,2,14.659,0.013,2,14.385,0.068,2,NA,NA,0,NA,NA,0
256.449071,0.503,30.480415,0.16,16.25,0.035,2,16.979,0.158,2,NA,NA,0,16.557,0.014,2,15.94,0.041,2,15.774,0.047,2,NA,NA,0,NA,NA,0
256.449455,0.24,29.9299,0.274,16.331,0.059,2,17.332,0.09,2,NA,NA,0,16.721,0.02,2,15.952,0.048,2,15.591,0.095,1,NA,NA,0,NA,NA,0
256.451106,0.352,30.00258,0.318,16.502,0.104,2,17.56,0.189,2,NA,NA,0,16.916,0.098,2,16.192,0.036,2,16.1,0.243,2,NA,NA,0,NA,NA,0
256.453008,0.136,29.875638,0.224,14.713,0.069,2,15.557,0.043,2,NA,NA,0,15.077,0.04,2,14.432,0.036,2,14.158,0.011,2,NA,NA,0,NA,NA,0
256.453313,0.159,30.161874,0.335,15.371,0.03,2,16.147,0.048,2,NA,NA,0,15.686,0.011,2,15.128,0.025,2,14.818,0.026,2,NA,NA,0,NA,NA,0
256.45451,0.309,30.483676,0.266,17.18,0.139,1,17.965,0.202,1,NA,NA,0,17.469,0.077,1,17.09,0.132,1,NA,NA,0,NA,NA,0,NA,NA,0
256.454605,0.222,29.926268,0.357,16.514,0.058,2,17.165,0.04,2,NA,NA,0,16.826,0.075,2,16.239,0.043,2,16.013,0.136,1,NA,NA,0,NA,NA,0
256.455668,0.261,30.153757,0.302,16.385,0.005,2,17.147,0.004,2,NA,NA,0,16.65,0.039,2,16.029,0.011,2,15.728,0.112,1,NA,NA,0,NA,NA,0
256.456082,0.056,29.942243,0.112,NA,NA,0,NA,NA,0,NA,NA,0,18.016,0.128,1,17.419,0.187,1,NA,NA,0,NA,NA,0,NA,NA,0
